der Absolvent, -en / die Absolventin, -nen	graduate / випускник | Als Absolvent einer IT-Akademie suche ich meinen ersten Job.
der Mindesturlaub (Sg.)	minimum vacation / мінімальна відпустка | Der vertragliche Urlaub bei Tech-Firmen übersteigt oft den gesetzlichen Mindesturlaub.
die Nebentätigkeit, -en	secondary employment, side job / додаткова робота, підробіток | Eine Nebentätigkeit als Freelancer muss der Hauptarbeitgeber meistens genehmigen.
der Paragraf, -en	paragraph, section / параграф, пункт (договору) | In Paragraf 4 meines Arbeitsvertrags ist die Remote-Work (Homeoffice) geregelt.
die Probezeit, -en	probationary period / випробувальний термін | Während der Probezeit von sechs Monaten lerne ich die große Codebase kennen.
das Stillschweigen (Sg.)	silence, confidentiality / мовчання, конфіденційність | Über das neue Apple-Projekt haben wir vertraglich striktes Stillschweigen vereinbart.
Stillschweigen bewahren (bewahrt, bewahrte, hat bewahrt)	to maintain silence/confidentiality / зберігати мовчання / таємницю | Wir müssen über die sensiblen Kundendaten absolutes Stillschweigen bewahren.
etw. verlangen	to demand, to require / вимагати | Der neue API-Endpoint wird einen gültigen Authentifizierungs-Token verlangen.
die Verschwiegenheitspflicht (Sg.)	duty of confidentiality (NDA) / обов'язок зберігати конфіденційність (NDA) | Jeder Entwickler unterschreibt eine Verschwiegenheitspflicht (NDA) vor Projektstart.
verstoßen gegen (+ Akk.) (verstößt, verstieß, hat verstoßen)	to violate / порушувати | Wer geheimen Code stiehlt, verstößt massiv gegen den Arbeitsvertrag.
das Weihnachtsgeld (Sg.)	Christmas bonus / різдвяна премія | Viele große Konzerne zahlen im November als Bonus ein Weihnachtsgeld (13. Gehalt).
der Anlass, "-e	occasion, reason / привід, нагода | Das erfolgreiche Release der App ist ein guter Anlass für eine kleine Party im Büro.
ausdrücklich	explicit(ly) / явно, категорично | Es ist ausdrücklich verboten, Kundendaten auf privaten USB-Sticks zu speichern.
die Ausnahme, -n	exception / виняток | Das Ignorieren von Linter-Warnungen ist im Code nur in absoluten Ausnahmen erlaubt.
der Bürgersteig, -e	pavement, sidewalk / тротуар | Die E-Scooter der Mitarbeiter dürfen den Fußgängern auf dem Bürgersteig nicht im Weg stehen.
etw. entfernen (entfernt, entfernte, hat entfernt)	to remove / видаляти, усувати | Ich muss die Test-Logs unbedingt aus dem Code entfernen, bevor wir pushen.
etw. erhalten (erhält, erhielt, hat erhalten)	to preserve, to maintain, to receive / зберігати, підтримувати, отримувати | Um die Server-Performance zu erhalten, löschen wir regelmäßig alte Cache-Daten.
etw. erlauben (erlaubt, erlaubte, hat erlaubt)	to allow, to permit / дозволяти | Die strenge Firmen-Firewall wird diese eingehende Verbindung niemals erlauben.
der Gemeinschaftsraum, "-e	common room, lounge / кімната відпочинку (для всіх) | Wir haben eine Tischtennisplatte und eine Kaffeemaschine im Gemeinschaftsraum.
etw. gestatten (gestattet, gestattete, hat gestattet)	to permit, to allow / дозволяти | Es ist aus Sicherheitsgründen nicht gestattet, externe Festplatten anzuschließen.
grundsätzlich	fundamentally, in principle / в принципі, принципово | Wir programmieren hier grundsätzlich immer nach den strengen Regeln von Clean Code.
die Hausordnung, -en	house rules / правила внутрішнього розпорядку | Laut Hausordnung ist das Essen im Serverraum logischerweise streng verboten.
herumlaufen (läuft herum, lief herum, ist herumgelaufen)	to walk around / бігати/ходити навколо | Die Bürohunde dürfen im Startup-Büro frei herumlaufen.
die Holzkohle, -n	charcoal / деревне вугілля | Beim Firmen-Grillen auf der Dachterrasse nutzen wir echte Holzkohle.
die Pflicht, -en	duty, obligation / обов'язок | Es ist die absolute Pflicht des Sysadmins, funktionierende Backups zu erstellen.
Rechte und Pflichten (Pl.)	rights and duties / права та обов'язки | Im Arbeitsvertrag stehen alle deine Rechte und Pflichten als Mitarbeiter.
die Rücksicht (Sg.)	consideration, thoughtfulness / повага, увага (до інших) | Im Großraumbüro müssen wir besonders viel Rücksicht auf die Kollegen nehmen.
Rücksicht nehmen auf (+ Akk.) (nimmt, nahm, hat genommen)	to be considerate of / зважати на, з повагою ставитися до | Beim Telefonieren müssen wir Rücksicht auf die konzentrierten Programmierer nehmen.
rücksichtsvoll	considerate, thoughtful / уважний, тактовний | Ein rücksichtsvolles Team achtet auf den Code-Style und die Kommentare der anderen.
sich wohlfühlen (fühlt sich wohl, fühlte sich wohl, hat sich wohlgefühlt)	to feel comfortable / почуватися добре / комфортно | Wir möchten, dass sich alle Entwickler im neuen, hellen IT-Büro wohlfühlen.
die Tierhaltung (Sg.)	keeping of animals / утримання тварин | Die Tierhaltung in Form von kleinen Bürohunden ist bei uns im Startup erlaubt.
umgehend	immediately, promptly / негайно | Kritische Bugs in der Produktion müssen dem Team umgehend gemeldet werden.
jdm. etw. untersagen (untersagt, untersagte, hat untersagt)	to prohibit, to forbid / забороняти | Der Admin kann Nutzern den Zugriff auf bestimmte Webseiten im Netzwerk untersagen.
die Verunreinigung, -en	contamination, pollution / забруднення | Eine Verunreinigung der Server-Racks durch Staub muss unbedingt verhindert werden.
der Zugangsweg, -e	access path, entrance / шлях доступу | Der Zugangsweg zum Rechenzentrum ist durch mehrere Kameras gesichert.
der Zustand, "-e	condition, state / стан | Das Git-Repository befindet sich nach dem Merge in einem sauberen Zustand.
die Zustimmung (Sg.)	approval, consent / згода, схвалення | Ohne die Zustimmung (Approve) des Tech Leads darfst du diesen Code nicht mergen.
etw./jdn. absichern (sichert ab, sicherte ab, hat abgesichert)	to secure, to insure / забезпечувати, страхувати | Als IT-Freelancer muss man sich selbst finanziell für das Alter absichern.
die Absicherung, -en	security, safeguard, insurance / забезпечення, гарантія | Eine gute IT-Infrastruktur braucht eine starke Absicherung gegen Hacker.
angewiesen auf (+ Akk.)	dependent on / залежний від | Unser System ist auf eine stabile und schnelle Datenbank-Verbindung angewiesen.
der Anspruch, "-e	claim, right / претензія, право | Jeder Entwickler hat rechtlichen Anspruch auf mindestens 20 Tage Urlaub im Jahr.
das Arbeitslosengeld (Sg.)	unemployment benefit / допомога по безробіттю | Nach der Startup-Pleite musste ich vorübergehend Arbeitslosengeld (ALG I) beantragen.
die Arbeitslosenversicherung, -en	unemployment insurance / страхування на випадок безробіття | Die Arbeitslosenversicherung wird automatisch von deinem Bruttogehalt abgezogen.
der Ausgleich (Sg.)	balance, compensation / баланс, компенсація | Sport ist ein extrem wichtiger Ausgleich zum ständigen Sitzen am PC.
der Beamte, -n / die Beamtin, -nen	civil servant / державний службовець | Viele IT-Experten im Ministerium arbeiten sicher als Beamte.
etw. beantragen (beantragt, beantragte, hat beantragt)	to apply for / подавати заяву на | Ich möchte nächste Woche Urlaub für die Tech-Konferenz beantragen.
sich begeben (begibt sich, begab sich, hat sich begeben)	to go, to proceed / відправлятися, йти | Der Techniker muss sich in den Serverraum begeben, um das Kabel zu tauschen.
die Beihilfe, -n	aid, subsidy / допомога, субсидія | Das Tech-Startup erhält eine staatliche Beihilfe für Forschung an KI.
die Betriebsrente, -n	company pension / корпоративна пенсія | Zusätzlich zum Gehalt zahlt die Firma jeden Monat in meine Betriebsrente ein.
etw. bewilligen (bewilligt, bewilligte, hat bewilligt)	to approve, to grant / затверджувати, давати дозвіл | Der Chef hat mein Budget für die AWS-Serverzertifizierung bewilligt.
der Bürger, - / die Bürgerin, -nen	citizen / громадянин | Wir entwickeln eine digitale Service-App für alle Bürger der Stadt.
das Elterngeld (Sg.)	parental allowance / допомога на дитину (для батьків у декреті) | Während meiner Elternzeit erhalte ich staatliches Elterngeld.
das Existenzminimum (Sg.)	subsistence level / прожитковий мінімум | Ein Junior-Gehalt in der IT liegt zum Glück weit über dem Existenzminimum.
die Grundsicherung (Sg.)	basic social security / базове соціальне забезпечення | Die Software der Arbeitsagentur berechnet automatisch die Grundsicherung.
der Jahresverdienst, -e	annual earnings / річний дохід | Mein Jahresverdienst als Senior Developer ist im Arbeitsvertrag klar geregelt.
das Kindergeld (Sg.)	child benefit / допомога на дитину | Die HR-Abteilung hilft mir bei den Formularen für das Kindergeld.
das Krankengeld (Sg.)	sick pay / допомога по хворобі | Nach sechs Wochen schwerer Krankheit zahlt die Krankenkasse das Krankengeld.
die Krankenversicherung, -en	health insurance / медичне страхування | In Deutschland ist eine Krankenversicherung für jeden Entwickler absolute Pflicht.
die Leistung, -en	performance, benefit / продуктивність, виплата | Die Rechenleistung des neuen M3-Prozessors ist beeindruckend.
das Nettoeinkommen, -	net income / чистий дохід (нетто) | Nach Abzug aller Steuern bleibt dir dein monatliches Nettoeinkommen.
oberhalb (+ Gen.)	above / вище, над | Dein Gehaltswunsch liegt leider etwas oberhalb unseres Budgets.
die Pension, -en	pension (for civil servants) / пенсія (для держслужбовців) | Beamte in der staatlichen IT erhalten im Alter eine sehr gute Pension.
das Pflegegeld (Sg.)	long-term care allowance / допомога по догляду | Die Health-Software berechnet automatisch das Pflegegeld für die Patienten.
die Pflegeversicherung, -en	long-term care insurance / страхування на випадок потреби в догляді | Die Pflegeversicherung ist ein wichtiger Teil der deutschen Sozialabgaben.
die Pflichtversicherung, -en	compulsory insurance / обов'язкове страхування | Die gesetzliche Krankenversicherung ist eine Pflichtversicherung.
