#separator:;
#html:true
#columns:German;German_Audio;English;Ukrainian;Example
die Kernarbeitszeit, -en;die Kernarbeitszeit;core working hours;основний робочий час (обов'язкова присутність);Unsere Kernarbeitszeit im Büro ist von 10:00 bis 15:00 Uhr.
der Mindesturlaub (Sg.);der Mindesturlaub;minimum vacation;мінімальна відпустка;Der vertragliche Urlaub bei Tech-Firmen übersteigt oft den gesetzlichen Mindesturlaub.
die Nebentätigkeit, -en;die Nebentätigkeit;secondary employment, side job;додаткова робота, підробіток;Eine Nebentätigkeit als Freelancer muss der Hauptarbeitgeber meistens genehmigen.
der Paragraf, -en;der Paragraf;paragraph, section;параграф, пункт (договору);In Paragraf 4 meines Arbeitsvertrags ist die Remote-Work (Homeoffice) geregelt.
die Probezeit, -en;die Probezeit;probationary period;випробувальний термін;Während der Probezeit von sechs Monaten lerne ich die große Codebase kennen.
das Stillschweigen (Sg.);das Stillschweigen;silence, confidentiality;мовчання, конфіденційність;Über das neue Apple-Projekt haben wir vertraglich striktes Stillschweigen vereinbart.
Stillschweigen bewahren (bewahrt, bewahrte, hat bewahrt);Stillschweigen bewahren;to maintain silence/confidentiality;зберігати мовчання / таємницю;Wir müssen über die sensiblen Kundendaten absolutes Stillschweigen bewahren.
etw. verlangen;verlangen;to demand, to require;вимагати;Der neue API-Endpoint wird einen gültigen Authentifizierungs-Token verlangen.
die Verschwiegenheitspflicht (Sg.);die Verschwiegenheitspflicht;duty of confidentiality (NDA);обов'язок зберігати конфіденційність (NDA);Jeder Entwickler unterschreibt eine Verschwiegenheitspflicht (NDA) vor Projektstart.
verstoßen gegen (+ Akk.) (verstößt, verstieß, hat verstoßen);verstoßen gegen;to violate;порушувати;Wer geheimen Code stiehlt, verstößt massiv gegen den Arbeitsvertrag.
das Weihnachtsgeld (Sg.);das Weihnachtsgeld;Christmas bonus;різдвяна премія;Viele große Konzerne zahlen im November als Bonus ein Weihnachtsgeld (13. Gehalt).
ausdrücklich;ausdrücklich;explicit(ly);явно, категорично;Es ist ausdrücklich verboten, Kundendaten auf privaten USB-Sticks zu speichern.
die Ausnahme, -n;die Ausnahme;exception;виняток;Das Ignorieren von Linter-Warnungen ist im Code nur in absoluten Ausnahmen erlaubt.
der Bürgersteig, -e;der Bürgersteig;pavement, sidewalk;тротуар;Die E-Scooter der Mitarbeiter dürfen den Fußgängern auf dem Bürgersteig nicht im Weg stehen.
etw. entfernen (entfernt, entfernte, hat entfernt);entfernen;to remove;видаляти, усувати;Ich muss die Test-Logs unbedingt aus dem Code entfernen, bevor wir pushen.
etw. erhalten (erhält, erhielt, hat erhalten);erhalten;to preserve, to maintain, to receive;зберігати, підтримувати, отримувати;Um die Server-Performance zu erhalten, löschen wir regelmäßig alte Cache-Daten.
etw. erlauben (erlaubt, erlaubte, hat erlaubt);erlauben;to allow, to permit;дозволяти;Die strenge Firmen-Firewall wird diese eingehende Verbindung niemals erlauben.
der Gemeinschaftsraum, "-e;der Gemeinschaftsraum;common room, lounge;кімната відпочинку (для всіх);Wir haben eine Tischtennisplatte und eine Kaffeemaschine im Gemeinschaftsraum.
etw. gestatten (gestattet, gestattete, hat gestattet);gestatten;to permit, to allow;дозволяти;Es ist aus Sicherheitsgründen nicht gestattet, externe Festplatten anzuschließen.
grundsätzlich;grundsätzlich;fundamentally, in principle;в принципі, принципово;Wir programmieren hier grundsätzlich immer nach den strengen Regeln von Clean Code.
herumlaufen (läuft herum, lief herum, ist herumgelaufen);herumlaufen;to walk around;бігати/ходити навколо;Die Bürohunde dürfen im Startup-Büro frei herumlaufen.
die Holzkohle, -n;die Holzkohle;charcoal;деревне вугілля;Beim Firmen-Grillen auf der Dachterrasse nutzen wir echte Holzkohle.
Rechte und Pflichten (Pl.);Rechte und Pflichten;rights and duties;права та обов'язки;Im Arbeitsvertrag stehen alle deine Rechte und Pflichten als Mitarbeiter.
die Rücksicht (Sg.);die Rücksicht;consideration, thoughtfulness;повага, увага (до інших);Im Großraumbüro müssen wir besonders viel Rücksicht auf die Kollegen nehmen.
Rücksicht nehmen auf (+ Akk.) (nimmt, nahm, hat genommen);Rücksicht nehmen auf;to be considerate of;зважати на, з повагою ставитися до;Beim Telefonieren müssen wir Rücksicht auf die konzentrierten Programmierer nehmen.
rücksichtsvoll;rücksichtsvoll;considerate, thoughtful;уважний, тактовний;Ein rücksichtsvolles Team achtet auf den Code-Style und die Kommentare der anderen.
sich wohlfühlen (fühlt sich wohl, fühlte sich wohl, hat sich wohlgefühlt);sich wohlfühlen;to feel comfortable;почуватися добре / комфортно;Wir möchten, dass sich alle Entwickler im neuen, hellen IT-Büro wohlfühlen.
die Tierhaltung (Sg.);die Tierhaltung;keeping of animals;утримання тварин;Die Tierhaltung in Form von kleinen Bürohunden ist bei uns im Startup erlaubt.
jdm. etw. untersagen (untersagt, untersagte, hat untersagt);jdm. etw. untersagen;to prohibit, to forbid;забороняти;Der Admin kann Nutzern den Zugriff auf bestimmte Webseiten im Netzwerk untersagen.
die Verunreinigung, -en;die Verunreinigung;contamination, pollution;забруднення;Eine Verunreinigung der Server-Racks durch Staub muss unbedingt verhindert werden.
der Zugangsweg, -e;der Zugangsweg;access path, entrance;шлях доступу;Der Zugangsweg zum Rechenzentrum ist durch mehrere Kameras gesichert.
der Zustand, "-e;der Zustand;condition, state;стан;Das Git-Repository befindet sich nach dem Merge in einem sauberen Zustand.
die Zustimmung (Sg.);die Zustimmung;approval, consent;згода, схвалення;Ohne die Zustimmung (Approve) des Tech Leads darfst du diesen Code nicht mergen.
etw./jdn. absichern (sichert ab, sicherte ab, hat abgesichert);etw.;to secure, to insure;забезпечувати, страхувати;Als IT-Freelancer muss man sich selbst finanziell für das Alter absichern.
die Absicherung, -en;die Absicherung;security, safeguard, insurance;забезпечення, гарантія;Eine gute IT-Infrastruktur braucht eine starke Absicherung gegen Hacker.
angewiesen auf (+ Akk.);angewiesen auf;dependent on;залежний від;Unser System ist auf eine stabile und schnelle Datenbank-Verbindung angewiesen.
der Anspruch, "-e;der Anspruch;claim, right;претензія, право;Jeder Entwickler hat rechtlichen Anspruch auf mindestens 20 Tage Urlaub im Jahr.
das Arbeitslosengeld (Sg.);das Arbeitslosengeld;unemployment benefit;допомога по безробіттю;Nach der Startup-Pleite musste ich vorübergehend Arbeitslosengeld (ALG I) beantragen.
die Arbeitslosenversicherung, -en;die Arbeitslosenversicherung;unemployment insurance;страхування на випадок безробіття;Die Arbeitslosenversicherung wird automatisch von deinem Bruttogehalt abgezogen.
der Ausgleich (Sg.);der Ausgleich;balance, compensation;баланс, компенсація;Sport ist ein extrem wichtiger Ausgleich zum ständigen Sitzen am PC.
der Beamte, -n / die Beamtin, -nen;der Beamte;civil servant;державний службовець;Viele IT-Experten im Ministerium arbeiten sicher als Beamte.
etw. beantragen (beantragt, beantragte, hat beantragt);beantragen;to apply for;подавати заяву на;Ich möchte nächste Woche Urlaub für die Tech-Konferenz beantragen.
sich begeben (begibt sich, begab sich, hat sich begeben);sich begeben;to go, to proceed;відправлятися, йти;Der Techniker muss sich in den Serverraum begeben, um das Kabel zu tauschen.
die Beihilfe, -n;die Beihilfe;aid, subsidy;допомога, субсидія;Das Tech-Startup erhält eine staatliche Beihilfe für Forschung an KI.
der Bürger, - / die Bürgerin, -nen;der Bürger;citizen;громадянин;Wir entwickeln eine digitale Service-App für alle Bürger der Stadt.
das Elterngeld (Sg.);das Elterngeld;parental allowance;допомога на дитину (для батьків у декреті);Während meiner Elternzeit erhalte ich staatliches Elterngeld.
das Existenzminimum (Sg.);das Existenzminimum;subsistence level;прожитковий мінімум;Ein Junior-Gehalt in der IT liegt zum Glück weit über dem Existenzminimum.
die Grundsicherung (Sg.);die Grundsicherung;basic social security;базове соціальне забезпечення;Die Software der Arbeitsagentur berechnet automatisch die Grundsicherung.
der Jahresverdienst, -e;der Jahresverdienst;annual earnings;річний дохід;Mein Jahresverdienst als Senior Developer ist im Arbeitsvertrag klar geregelt.
das Kindergeld (Sg.);das Kindergeld;child benefit;допомога на дитину;Die HR-Abteilung hilft mir bei den Formularen für das Kindergeld.
das Krankengeld (Sg.);das Krankengeld;sick pay;допомога по хворобі;Nach sechs Wochen schwerer Krankheit zahlt die Krankenkasse das Krankengeld.
die Krankenversicherung, -en;die Krankenversicherung;health insurance;медичне страхування;In Deutschland ist eine Krankenversicherung für jeden Entwickler absolute Pflicht.
die Leistung, -en;die Leistung;performance, benefit;продуктивність, виплата;Die Rechenleistung des neuen M3-Prozessors ist beeindruckend.
oberhalb (+ Gen.);oberhalb;above;вище, над;Dein Gehaltswunsch liegt leider etwas oberhalb unseres Budgets.
die Pension, -en;die Pension;pension (for civil servants);пенсія (для держслужбовців);Beamte in der staatlichen IT erhalten im Alter eine sehr gute Pension.
das Pflegegeld (Sg.);das Pflegegeld;long-term care allowance;допомога по догляду;Die Health-Software berechnet automatisch das Pflegegeld für die Patienten.
die Pflegeversicherung, -en;die Pflegeversicherung;long-term care insurance;страхування на випадок потреби в догляді;Die Pflegeversicherung ist ein wichtiger Teil der deutschen Sozialabgaben.
die Pflichtversicherung, -en;die Pflichtversicherung;compulsory insurance;обов'язкове страхування;Die gesetzliche Krankenversicherung ist eine Pflichtversicherung.
die Rente, -n;die Rente;pension;пенсія;Er plant, mit 65 Jahren in Rente zu gehen und nur noch private Code-Projekte zu machen.
das Rentenalter (Sg.);das Rentenalter;retirement age;пенсійний вік;Das gesetzliche Rentenalter in Deutschland wird vermutlich bald angehoben.
die Rentenversicherung, -en;die Rentenversicherung;pension insurance;пенсійне страхування;Dein Beitrag zur Rentenversicherung wird direkt vom Bruttogehalt abgezogen.
der Sonderstatus (Sg.);der Sonderstatus;special status;особливий статус;IT-Security-Experten haben oft einen Sonderstatus im Unternehmen.
sozial;sozial;social;соціальний;Unsere Firma engagiert sich stark für soziale Tech-Projekte.
die Sozialhilfe (Sg.);die Sozialhilfe;social assistance, welfare;соціальна допомога;Ein neuer Algorithmus soll die Auszahlung der Sozialhilfe beschleunigen.
der Sozialstaat, -en;der Sozialstaat;welfare state;соціальна держава;Deutschland ist ein starker Sozialstaat mit vielen verpflichtenden Versicherungen.
die Sozialversicherung, -en;die Sozialversicherung;social security;соціальне страхування;Als Festangestellter bist du automatisch in der Sozialversicherung.
unterhalb (+ Gen.);unterhalb;below;нижче, під;Die Serverlast liegt zum Glück weit unterhalb des kritischen Limits.
etw. vorlegen;vorlegen;to submit, to present;надавати, пред'являти;Du musst dem HR-Team deine Steuer-ID und das Zeugnis vorlegen.
